Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
PRDA,Prodia Widyahusada Tbk.,2820.0,2820.0,2840.0,2770.0,2800.0,-20.0,728900.0,2044795000.0,254.0,172400.0,271300.0
PRDL,Prodia Diagnostic Line Tbk.,204.0,204.0,212.0,193.0,196.0,-8.0,12742300.0,2528392100.0,2977.0,2685100.0,3992900.0
PRIM,Royal Prima Tbk.,123.0,123.0,125.0,121.0,122.0,-1.0,2236700.0,274193700.0,341.0,67800.0,444100.0
PSAB,J Resources Asia Pasifik Tbk.,540.0,540.0,545.0,515.0,530.0,-10.0,67031900.0,35121290500.0,5563.0,13228000.0,8659400.0
PSAT,Pancaran Samudera Transport Tbk.,855.0,0.0,885.0,840.0,840.0,-15.0,27100.0,23492000.0,35.0,0.0,100.0
PSDN,Prasidha Aneka Niaga Tbk,144.0,147.0,147.0,137.0,140.0,-4.0,11745500.0,1664992700.0,1487.0,2228200.0,400.0
PSGO,Palma Serasih Tbk.,192.0,192.0,194.0,191.0,192.0,0.0,45100.0,8659600.0,38.0,0.0,5100.0
PSKT,Red Planet Indonesia Tbk.,232.0,232.0,234.0,226.0,232.0,0.0,4642500.0,1066937400.0,357.0,318700.0,767100.0
PSSI,IMC Pelita Logistik Tbk.,360.0,370.0,444.0,340.0,352.0,-8.0,5163500.0,2027022600.0,2351.0,236600.0,206100.0
PTBA,Bukit Asam (Persero) Tbk.,3080.0,3070.0,3070.0,2990.0,3010.0,-70.0,22639100.0,68220596000.0,8034.0,8364700.0,7527100.0
PTDU,Djasa Ubersakti Tbk.,70.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
PTIS,Indo Straits Tbk.,256.0,260.0,270.0,252.0,254.0,-2.0,320700.0,84052400.0,214.0,0.0,0.0
PTMP,Mitra Pack Tbk.,62.0,63.0,63.0,60.0,61.0,-1.0,6776100.0,414519400.0,552.0,0.0,1275900.0
PTMR,Master Print Tbk.,374.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPP,PP (Persero) Tbk.,198.0,202.0,202.0,195.0,195.0,-3.0,2985900.0,585143400.0,425.0,141000.0,643600.0
PTPS,Pulau Subur Tbk.,160.0,160.0,160.0,150.0,155.0,-5.0,3290800.0,511316000.0,692.0,237200.0,81300.0
PTPW,Pratama Widya Tbk.,1145.0,1150.0,1155.0,1140.0,1140.0,-5.0,21700.0,24939500.0,35.0,0.0,0.0
PTRO,Petrosea Tbk.,5400.0,5425.0,5450.0,5175.0,5375.0,-25.0,42085100.0,223030087500.0,13687.0,4351700.0,10048100.0
PTSN,Sat Nusapersada Tbk,386.0,386.0,394.0,368.0,374.0,-12.0,3344400.0,1259647200.0,679.0,344500.0,326600.0
PTSP,Pioneerindo Gourmet International Tbk.,1200.0,0.0,1250.0,1130.0,1200.0,0.0,25200.0,29940500.0,111.0,4000.0,1000.0
PUDP,Pudjiadi Prestige Tbk.,270.0,270.0,270.0,262.0,270.0,0.0,59100.0,15707600.0,37.0,0.0,1300.0
PURA,Putra Rajawali Kencana Tbk.,32.0,0.0,32.0,31.0,31.0,-1.0,3179600.0,99021000.0,112.0,0.0,0.0
PURE,Trinitan Metals and Minerals Tbk.,51.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
PURI,Puri Global Sukses Tbk.,160.0,164.0,167.0,158.0,161.0,1.0,10726000.0,1741515600.0,1093.0,138000.0,156200.0
PWON,Pakuwon Jati Tbk.,266.0,268.0,270.0,264.0,268.0,2.0,25413800.0,6782219400.0,2046.0,17851300.0,11481000.0
